date,service_name,cpu,recieved_bytes,transmitted_bytes
1601614500000000000,srv3,3.522206e-02,1.035448e+05,1.826209e+05
1601614800000000000,srv3,3.658166e-02,1.082516e+05,1.893838e+05
1601615100000000000,srv3,3.820839e-02,1.103442e+05,1.955301e+05
1601615400000000000,srv3,3.960549e-02,1.234599e+05,2.075540e+05
1601615700000000000,srv3,4.073449e-02,1.194163e+05,2.128873e+05
1601616000000000000,srv3,4.143699e-02,1.221863e+05,2.161373e+05
1601616300000000000,srv3,4.259464e-02,1.263487e+05,2.204611e+05
1601616600000000000,srv3,4.373449e-02,1.299013e+05,2.289202e+05
1601616900000000000,srv3,4.492501e-02,1.321037e+05,2.343025e+05
1601617200000000000,srv3,4.621206e-02,1.424306e+05,2.422760e+05
1601617500000000000,srv3,4.795271e-02,1.440737e+05,2.555146e+05
1601617800000000000,srv3,4.944735e-02,1.453964e+05,2.555416e+05
1601618100000000000,srv3,5.076402e-02,1.592858e+05,2.688825e+05
1601618400000000000,srv3,5.340245e-02,1.587337e+05,2.809222e+05
1601618700000000000,srv3,5.567027e-02,1.679240e+05,2.945172e+05
1601619000000000000,srv3,5.847897e-02,1.823453e+05,3.138800e+05
1601619300000000000,srv3,5.986951e-02,1.811920e+05,3.191838e+05
1601619600000000000,srv3,6.226443e-02,1.855600e+05,3.220773e+05
1601619900000000000,srv3,6.261641e-02,2.019656e+05,3.498948e+05
1601620200000000000,srv3,6.592582e-02,1.970425e+05,3.456681e+05
1601620500000000000,srv3,6.615997e-02,2.054194e+05,3.616705e+05
1601620800000000000,srv3,6.900903e-02,2.099759e+05,3.699300e+05
1601621100000000000,srv3,7.094236e-02,2.207910e+05,3.831958e+05
1601621400000000000,srv3,7.269463e-02,2.248814e+05,3.943977e+05
1601621700000000000,srv3,7.553982e-02,2.390618e+05,4.075009e+05
1601622000000000000,srv3,7.925799e-02,2.427274e+05,4.254757e+05
1601622300000000000,srv3,8.283028e-02,2.598323e+05,4.412636e+05
1601622600000000000,srv3,8.715477e-02,2.696180e+05,4.800221e+05
1601622900000000000,srv3,8.969209e-02,2.771758e+05,4.891805e+05
1601623200000000000,srv3,9.001449e-02,2.887499e+05,4.958553e+05
1601623500000000000,srv3,9.317117e-02,2.981224e+05,5.134844e+05
1601623800000000000,srv3,9.525833e-02,2.924685e+05,5.163072e+05
